	timestamp	length	highest_layer	host_ip	dest_ip	host_port	dest_port
49	1521397331.781403	151	DNS	75.75.75.75	10.0.2.15	53	36048
50	1521397331.781784	81	DNS	10.0.2.15	75.75.75.75	42076	53
51	1521397331.781868	81	DNS	10.0.2.15	75.75.75.75	42076	53
52	1521397331.802202	97	DNS	75.75.75.75	10.0.2.15	53	42076
53	1521397331.804366	109	DNS	75.75.75.75	10.0.2.15	53	42076
54	1521397332.740565	93	DNS	10.0.2.15	75.75.75.75	46538	53
55	1521397332.742552	93	DNS	10.0.2.15	75.75.75.75	46538	53
56	1521397332.764535	130	DNS	75.75.75.75	10.0.2.15	53	46538
57	1521397332.764546	195	DNS	75.75.75.75	10.0.2.15	53	46538
58	1521397339.338002	80	DNS	10.0.2.15	162.212.156.148	43917	53
59	1521397339.353212	109	DNS	162.212.156.148	10.0.2.15	53	43917
60	1521397339.353387	101	DNS	10.0.2.15	162.212.156.148	43917	53
61	1521397339.366759	155	DNS	162.212.156.148	10.0.2.15	53	43917
62	1521397339.371989	86	DNS	10.0.2.15	162.212.156.148	43917	53
63	1521397339.386101	166	DNS	162.212.156.148	10.0.2.15	53	43917
64	1521397339.386174	121	DNS	10.0.2.15	162.212.156.148	43917	53
65	1521397339.401144	192	DNS	162.212.156.148	10.0.2.15	53	43917
66	1521397339.401242	130	DNS	10.0.2.15	162.212.156.148	43917	53
67	1521397339.41555	215	DNS	162.212.156.148	10.0.2.15	53	43917
68	1521397339.415643	136	DNS	10.0.2.15	162.212.156.148	43917	53
69	1521397339.429439	231	DNS	162.212.156.148	10.0.2.15	53	43917
70	1521397339.4295	116	DNS	10.0.2.15	162.212.156.148	43917	53
71	1521397339.443212	179	DNS	162.212.156.148	10.0.2.15	53	43917
72	1521397339.443313	132	DNS	10.0.2.15	162.212.156.148	43917	53
73	1521397339.484856	220	DNS	162.212.156.148	10.0.2.15	53	43917
74	1521397339.484945	86	DNS	10.0.2.15	162.212.156.148	43917	53
75	1521397339.497921	101	DNS	162.212.156.148	10.0.2.15	53	43917
76	1521397339.497996	86	DNS	10.0.2.15	162.212.156.148	43917	53
77	1521397339.512588	153	DNS	162.212.156.148	10.0.2.15	53	43917
78	1521397339.51265	86	DNS	10.0.2.15	162.212.156.148	43917	53
79	1521397339.526741	144	DNS	162.212.156.148	10.0.2.15	53	43917
80	1521397339.526802	86	DNS	10.0.2.15	162.212.156.148	43917	53
81	1521397339.541733	137	DNS	162.212.156.148	10.0.2.15	53	43917
82	1521397339.541801	86	DNS	10.0.2.15	162.212.156.148	43917	53
83	1521397339.57833	92	DNS	162.212.156.148	10.0.2.15	53	43917
84	1521397339.578404	86	DNS	10.0.2.15	162.212.156.148	43917	53
85	1521397339.592399	93	DNS	162.212.156.148	10.0.2.15	53	43917
86	1521397339.592468	89	DNS	10.0.2.15	162.212.156.148	43917	53
87	1521397339.606479	94	DNS	162.212.156.148	10.0.2.15	53	43917
88	1521397339.608921	88	DNS	10.0.2.15	162.212.156.148	43917	53
89	1521397340.60993	88	DNS	10.0.2.15	162.212.156.148	43917	53
90	1521397340.625564	93	DNS	162.212.156.148	10.0.2.15	53	43917
91	1521397341.627916	88	DNS	10.0.2.15	162.212.156.148	43917	53
92	1521397341.645197	93	DNS	162.212.156.148	10.0.2.15	53	43917
93	1521397342.646505	88	DNS	10.0.2.15	162.212.156.148	43917	53
94	1521397342.659937	93	DNS	162.212.156.148	10.0.2.15	53	43917
95	1521397343.643498	190	DNS	10.0.2.15	162.212.156.148	43917	53
96	1521397343.658903	184	DNS	162.212.156.148	10.0.2.15	53	43917
97	1521397343.665528	88	DNS	10.0.2.15	162.212.156.148	43917	53
98	1521397343.681949	195	DNS	162.212.156.148	10.0.2.15	53	43917
99	1521397344.64774	190	DNS	10.0.2.15	162.212.156.148	43917	53
100	1521397344.67802	184	DNS	162.212.156.148	10.0.2.15	53	43917
101	1521397344.683222	88	DNS	10.0.2.15	162.212.156.148	43917	53
102	1521397344.697177	195	DNS	162.212.156.148	10.0.2.15	53	43917
103	1521397345.697371	88	DNS	10.0.2.15	162.212.156.148	43917	53
104	1521397345.711379	93	DNS	162.212.156.148	10.0.2.15	53	43917
105	1521397346.714688	88	DNS	10.0.2.15	162.212.156.148	43917	53
106	1521397346.728545	93	DNS	162.212.156.148	10.0.2.15	53	43917
107	1521397347.728717	88	DNS	10.0.2.15	162.212.156.148	43917	53
108	1521397347.743838	93	DNS	162.212.156.148	10.0.2.15	53	43917
109	1521397348.086286	162	DNS	10.0.2.15	162.212.156.148	43917	53
110	1521397348.100762	163	DNS	162.212.156.148	10.0.2.15	53	43917
111	1521397348.100927	157	DNS	10.0.2.15	162.212.156.148	43917	53
112	1521397348.145498	266	DNS	162.212.156.148	10.0.2.15	53	43917
113	1521397348.145709	200	DNS	10.0.2.15	162.212.156.148	43917	53
114	1521397348.173869	224	DNS	162.212.156.148	10.0.2.15	53	43917
115	1521397348.174025	157	DNS	10.0.2.15	162.212.156.148	43917	53
116	1521397348.187541	546	DNS	162.212.156.148	10.0.2.15	53	43917
117	1521397348.187729	324	DNS	10.0.2.15	162.212.156.148	43917	53
118	1521397348.204008	162	DNS	162.212.156.148	10.0.2.15	53	43917
119	1521397348.204078	303	DNS	10.0.2.15	162.212.156.148	43917	53
120	1521397348.238939	329	DNS	162.212.156.148	10.0.2.15	53	43917
121	1521397348.239095	247	DNS	10.0.2.15	162.212.156.148	43917	53
122	1521397348.254338	371	DNS	162.212.156.148	10.0.2.15	53	43917
123	1521397348.254518	210	DNS	10.0.2.15	162.212.156.148	43917	53
124	1521397348.276263	629	DNS	162.212.156.148	10.0.2.15	53	43917
125	1521397348.278426	168	DNS	10.0.2.15	162.212.156.148	43917	53
126	1521397348.31237	215	DNS	162.212.156.148	10.0.2.15	53	43917
127	1521397348.331515	235	DNS	162.212.156.148	10.0.2.15	53	43917
128	1521397348.331614	88	DNS	10.0.2.15	162.212.156.148	43917	53
129	1521397348.331819	211	DNS	10.0.2.15	162.212.156.148	43917	53
130	1521397348.346535	155	DNS	162.212.156.148	10.0.2.15	53	43917
131	1521397348.349258	324	DNS	162.212.156.148	10.0.2.15	53	43917
132	1521397348.349331	88	DNS	10.0.2.15	162.212.156.148	43917	53
133	1521397348.349519	233	DNS	10.0.2.15	162.212.156.148	43917	53
134	1521397348.36505	210	DNS	162.212.156.148	10.0.2.15	53	43917
135	1521397348.365295	324	DNS	10.0.2.15	162.212.156.148	43917	53
136	1521397348.37897	238	DNS	162.212.156.148	10.0.2.15	53	43917
137	1521397348.379033	324	DNS	10.0.2.15	162.212.156.148	43917	53
138	1521397348.392901	329	DNS	162.212.156.148	10.0.2.15	53	43917
139	1521397348.392968	324	DNS	10.0.2.15	162.212.156.148	43917	53
140	1521397348.408111	329	DNS	162.212.156.148	10.0.2.15	53	43917
141	1521397348.408174	178	DNS	10.0.2.15	162.212.156.148	43917	53
142	1521397348.424489	986	DNS	162.212.156.148	10.0.2.15	53	43917
143	1521397348.431435	88	DNS	10.0.2.15	162.212.156.148	43917	53
144	1521397348.43756	324	DNS	10.0.2.15	162.212.156.148	43917	53
145	1521397348.445981	183	DNS	162.212.156.148	10.0.2.15	53	43917
146	1521397348.454357	93	DNS	162.212.156.148	10.0.2.15	53	43917
147	1521397348.454425	324	DNS	10.0.2.15	162.212.156.148	43917	53
148	1521397348.48102	329	DNS	162.212.156.148	10.0.2.15	53	43917
149	1521397348.481083	324	DNS	10.0.2.15	162.212.156.148	43917	53
150	1521397348.500267	329	DNS	162.212.156.148	10.0.2.15	53	43917
151	1521397348.500327	324	DNS	10.0.2.15	162.212.156.148	43917	53
152	1521397348.514024	329	DNS	162.212.156.148	10.0.2.15	53	43917
153	1521397348.514079	324	DNS	10.0.2.15	162.212.156.148	43917	53
154	1521397348.527507	329	DNS	162.212.156.148	10.0.2.15	53	43917
155	1521397348.527573	225	DNS	10.0.2.15	162.212.156.148	43917	53
156	1521397348.56213	329	DNS	162.212.156.148	10.0.2.15	53	43917
157	1521397348.562305	263	DNS	10.0.2.15	162.212.156.148	43917	53
158	1521397348.579156	293	DNS	162.212.156.148	10.0.2.15	53	43917
159	1521397348.584273	263	DNS	10.0.2.15	162.212.156.148	43917	53
160	1521397348.589322	330	DNS	162.212.156.148	10.0.2.15	53	43917
161	1521397348.589485	263	DNS	10.0.2.15	162.212.156.148	43917	53
162	1521397348.598097	360	DNS	162.212.156.148	10.0.2.15	53	43917
163	1521397348.603985	263	DNS	10.0.2.15	162.212.156.148	43917	53
164	1521397348.604122	338	DNS	162.212.156.148	10.0.2.15	53	43917
165	1521397348.604304	293	DNS	10.0.2.15	162.212.156.148	43917	53
166	1521397348.620448	268	DNS	162.212.156.148	10.0.2.15	53	43917
167	1521397348.620458	360	DNS	162.212.156.148	10.0.2.15	53	43917
168	1521397348.625642	88	DNS	10.0.2.15	162.212.156.148	43917	53
169	1521397348.716842	1104	DNS	162.212.156.148	10.0.2.15	53	43917
170	1521397348.726956	88	DNS	10.0.2.15	162.212.156.148	43917	53
171	1521397348.756997	157	DNS	10.0.2.15	162.212.156.148	43917	53
172	1521397348.770891	202	DNS	162.212.156.148	10.0.2.15	53	43917
173	1521397348.771047	157	DNS	10.0.2.15	162.212.156.148	43917	53
174	1521397348.805585	162	DNS	162.212.156.148	10.0.2.15	53	43917
175	1521397348.805748	324	DNS	10.0.2.15	162.212.156.148	43917	53
176	1521397348.831709	162	DNS	162.212.156.148	10.0.2.15	53	43917
177	1521397348.831778	231	DNS	10.0.2.15	162.212.156.148	43917	53
178	1521397348.849296	391	DNS	162.212.156.148	10.0.2.15	53	43917
179	1521397348.849307	373	DNS	162.212.156.148	10.0.2.15	53	43917
180	1521397348.849439	88	DNS	10.0.2.15	162.212.156.148	43917	53
181	1521397348.862818	193	DNS	162.212.156.148	10.0.2.15	53	43917
182	1521397348.863087	157	DNS	10.0.2.15	162.212.156.148	43917	53
183	1521397348.901016	162	DNS	162.212.156.148	10.0.2.15	53	43917
184	1521397348.901164	233	DNS	10.0.2.15	162.212.156.148	43917	53
185	1521397348.918188	338	DNS	162.212.156.148	10.0.2.15	53	43917
186	1521397348.920148	239	DNS	10.0.2.15	162.212.156.148	43917	53
187	1521397348.935589	344	DNS	162.212.156.148	10.0.2.15	53	43917
188	1521397348.936029	324	DNS	10.0.2.15	162.212.156.148	43917	53
189	1521397348.95142	329	DNS	162.212.156.148	10.0.2.15	53	43917
190	1521397348.951533	324	DNS	10.0.2.15	162.212.156.148	43917	53
191	1521397348.970483	329	DNS	162.212.156.148	10.0.2.15	53	43917
192	1521397348.970544	324	DNS	10.0.2.15	162.212.156.148	43917	53
193	1521397348.991912	329	DNS	162.212.156.148	10.0.2.15	53	43917
194	1521397348.991979	324	DNS	10.0.2.15	162.212.156.148	43917	53
195	1521397349.008918	329	DNS	162.212.156.148	10.0.2.15	53	43917
196	1521397349.009004	324	DNS	10.0.2.15	162.212.156.148	43917	53
197	1521397349.023698	329	DNS	162.212.156.148	10.0.2.15	53	43917
198	1521397349.023758	225	DNS	10.0.2.15	162.212.156.148	43917	53
199	1521397349.059817	230	DNS	162.212.156.148	10.0.2.15	53	43917
200	1521397349.060028	324	DNS	10.0.2.15	162.212.156.148	43917	53
201	1521397349.075101	329	DNS	162.212.156.148	10.0.2.15	53	43917
202	1521397349.075161	324	DNS	10.0.2.15	162.212.156.148	43917	53
203	1521397349.088734	391	DNS	162.212.156.148	10.0.2.15	53	43917
204	1521397349.088806	324	DNS	10.0.2.15	162.212.156.148	43917	53
205	1521397349.103154	329	DNS	162.212.156.148	10.0.2.15	53	43917
206	1521397349.103219	324	DNS	10.0.2.15	162.212.156.148	43917	53
207	1521397349.121036	329	DNS	162.212.156.148	10.0.2.15	53	43917
208	1521397349.121142	137	DNS	10.0.2.15	162.212.156.148	43917	53
209	1521397349.148294	204	DNS	162.212.156.148	10.0.2.15	53	43917
210	1521397349.148487	324	DNS	10.0.2.15	162.212.156.148	43917	53
211	1521397349.16257	429	DNS	162.212.156.148	10.0.2.15	53	43917
212	1521397349.162793	324	DNS	10.0.2.15	162.212.156.148	43917	53
213	1521397349.177685	329	DNS	162.212.156.148	10.0.2.15	53	43917
214	1521397349.177744	324	DNS	10.0.2.15	162.212.156.148	43917	53
215	1521397349.194071	329	DNS	162.212.156.148	10.0.2.15	53	43917
216	1521397349.194144	324	DNS	10.0.2.15	162.212.156.148	43917	53
217	1521397349.20915	329	DNS	162.212.156.148	10.0.2.15	53	43917
218	1521397349.209206	137	DNS	10.0.2.15	162.212.156.148	43917	53
219	1521397349.226241	214	DNS	162.212.156.148	10.0.2.15	53	43917
220	1521397349.226406	220	DNS	10.0.2.15	162.212.156.148	43917	53
221	1521397349.241056	287	DNS	162.212.156.148	10.0.2.15	53	43917
222	1521397349.246796	88	DNS	10.0.2.15	162.212.156.148	43917	53
223	1521397349.261469	194	DNS	162.212.156.148	10.0.2.15	53	43917
224	1521397349.26173	223	DNS	10.0.2.15	162.212.156.148	43917	53
225	1521397349.277689	328	DNS	162.212.156.148	10.0.2.15	53	43917
226	1521397349.279812	324	DNS	10.0.2.15	162.212.156.148	43917	53
227	1521397349.294876	329	DNS	162.212.156.148	10.0.2.15	53	43917
228	1521397349.294947	324	DNS	10.0.2.15	162.212.156.148	43917	53
229	1521397349.312111	329	DNS	162.212.156.148	10.0.2.15	53	43917
230	1521397349.312212	324	DNS	10.0.2.15	162.212.156.148	43917	53
231	1521397349.3263	329	DNS	162.212.156.148	10.0.2.15	53	43917
232	1521397349.326361	324	DNS	10.0.2.15	162.212.156.148	43917	53
233	1521397349.340842	329	DNS	162.212.156.148	10.0.2.15	53	43917
234	1521397349.340899	116	DNS	10.0.2.15	162.212.156.148	43917	53
235	1521397349.356012	221	DNS	162.212.156.148	10.0.2.15	53	43917
236	1521397349.356327	221	DNS	10.0.2.15	162.212.156.148	43917	53
237	1521397349.370574	327	DNS	162.212.156.148	10.0.2.15	53	43917
238	1521397349.37086	220	DNS	10.0.2.15	162.212.156.148	43917	53
239	1521397349.388091	325	DNS	162.212.156.148	10.0.2.15	53	43917
240	1521397349.390889	223	DNS	10.0.2.15	162.212.156.148	43917	53
241	1521397349.406486	328	DNS	162.212.156.148	10.0.2.15	53	43917
242	1521397349.406744	221	DNS	10.0.2.15	162.212.156.148	43917	53
243	1521397349.421722	326	DNS	162.212.156.148	10.0.2.15	53	43917
244	1521397349.422706	242	DNS	10.0.2.15	162.212.156.148	43917	53
245	1521397349.439535	348	DNS	162.212.156.148	10.0.2.15	53	43917
246	1521397349.440217	202	DNS	10.0.2.15	162.212.156.148	43917	53
247	1521397349.455734	307	DNS	162.212.156.148	10.0.2.15	53	43917
248	1521397349.456261	202	DNS	10.0.2.15	162.212.156.148	43917	53
249	1521397349.472757	306	DNS	162.212.156.148	10.0.2.15	53	43917
250	1521397349.47303	223	DNS	10.0.2.15	162.212.156.148	43917	53
251	1521397349.494351	328	DNS	162.212.156.148	10.0.2.15	53	43917
252	1521397349.495333	223	DNS	10.0.2.15	162.212.156.148	43917	53
253	1521397349.52186	328	DNS	162.212.156.148	10.0.2.15	53	43917
254	1521397349.522744	251	DNS	10.0.2.15	162.212.156.148	43917	53
255	1521397349.543693	356	DNS	162.212.156.148	10.0.2.15	53	43917
256	1521397349.543933	203	DNS	10.0.2.15	162.212.156.148	43917	53
257	1521397349.55814	308	DNS	162.212.156.148	10.0.2.15	53	43917
258	1521397349.558403	221	DNS	10.0.2.15	162.212.156.148	43917	53
259	1521397349.578479	327	DNS	162.212.156.148	10.0.2.15	53	43917
260	1521397349.578745	203	DNS	10.0.2.15	162.212.156.148	43917	53
261	1521397349.594127	308	DNS	162.212.156.148	10.0.2.15	53	43917
262	1521397349.594609	203	DNS	10.0.2.15	162.212.156.148	43917	53
263	1521397349.60863	309	DNS	162.212.156.148	10.0.2.15	53	43917
264	1521397349.608905	221	DNS	10.0.2.15	162.212.156.148	43917	53
265	1521397349.624752	327	DNS	162.212.156.148	10.0.2.15	53	43917
266	1521397349.625005	221	DNS	10.0.2.15	162.212.156.148	43917	53
267	1521397349.642346	326	DNS	162.212.156.148	10.0.2.15	53	43917
268	1521397349.644289	220	DNS	10.0.2.15	162.212.156.148	43917	53
269	1521397349.659836	325	DNS	162.212.156.148	10.0.2.15	53	43917
270	1521397349.660097	223	DNS	10.0.2.15	162.212.156.148	43917	53
271	1521397349.675497	328	DNS	162.212.156.148	10.0.2.15	53	43917
272	1521397349.675753	221	DNS	10.0.2.15	162.212.156.148	43917	53
273	1521397349.690306	326	DNS	162.212.156.148	10.0.2.15	53	43917
274	1521397349.69184	324	DNS	10.0.2.15	162.212.156.148	43917	53
275	1521397349.706745	329	DNS	162.212.156.148	10.0.2.15	53	43917
276	1521397349.706805	180	DNS	10.0.2.15	162.212.156.148	43917	53
277	1521397349.72073	286	DNS	162.212.156.148	10.0.2.15	53	43917
278	1521397349.720968	202	DNS	10.0.2.15	162.212.156.148	43917	53
279	1521397349.736062	307	DNS	162.212.156.148	10.0.2.15	53	43917
280	1521397349.736304	202	DNS	10.0.2.15	162.212.156.148	43917	53
281	1521397349.750372	307	DNS	162.212.156.148	10.0.2.15	53	43917
282	1521397349.7507	221	DNS	10.0.2.15	162.212.156.148	43917	53
283	1521397349.76505	326	DNS	162.212.156.148	10.0.2.15	53	43917
284	1521397349.76529	221	DNS	10.0.2.15	162.212.156.148	43917	53
285	1521397349.781155	326	DNS	162.212.156.148	10.0.2.15	53	43917
286	1521397349.783115	324	DNS	10.0.2.15	162.212.156.148	43917	53
287	1521397349.796609	329	DNS	162.212.156.148	10.0.2.15	53	43917
288	1521397349.79667	180	DNS	10.0.2.15	162.212.156.148	43917	53
289	1521397349.810568	286	DNS	162.212.156.148	10.0.2.15	53	43917
290	1521397349.811458	202	DNS	10.0.2.15	162.212.156.148	43917	53
291	1521397349.827899	307	DNS	162.212.156.148	10.0.2.15	53	43917
292	1521397349.828184	202	DNS	10.0.2.15	162.212.156.148	43917	53
293	1521397349.842451	307	DNS	162.212.156.148	10.0.2.15	53	43917
294	1521397349.842717	221	DNS	10.0.2.15	162.212.156.148	43917	53
295	1521397349.858069	326	DNS	162.212.156.148	10.0.2.15	53	43917
296	1521397349.860035	324	DNS	10.0.2.15	162.212.156.148	43917	53
297	1521397349.873912	329	DNS	162.212.156.148	10.0.2.15	53	43917
298	1521397349.874007	180	DNS	10.0.2.15	162.212.156.148	43917	53
299	1521397349.902385	285	DNS	162.212.156.148	10.0.2.15	53	43917
300	1521397349.902628	202	DNS	10.0.2.15	162.212.156.148	43917	53
301	1521397349.91968	307	DNS	162.212.156.148	10.0.2.15	53	43917
302	1521397349.919928	230	DNS	10.0.2.15	162.212.156.148	43917	53
303	1521397349.934776	335	DNS	162.212.156.148	10.0.2.15	53	43917
304	1521397349.936901	324	DNS	10.0.2.15	162.212.156.148	43917	53
305	1521397349.953778	329	DNS	162.212.156.148	10.0.2.15	53	43917
306	1521397349.953925	97	DNS	10.0.2.15	162.212.156.148	43917	53
307	1521397349.968622	202	DNS	162.212.156.148	10.0.2.15	53	43917
308	1521397349.968875	223	DNS	10.0.2.15	162.212.156.148	43917	53
309	1521397349.983845	328	DNS	162.212.156.148	10.0.2.15	53	43917
310	1521397349.98416	220	DNS	10.0.2.15	162.212.156.148	43917	53
311	1521397350.000293	325	DNS	162.212.156.148	10.0.2.15	53	43917
312	1521397350.00053	203	DNS	10.0.2.15	162.212.156.148	43917	53
313	1521397350.020639	308	DNS	162.212.156.148	10.0.2.15	53	43917
314	1521397350.020884	221	DNS	10.0.2.15	162.212.156.148	43917	53
315	1521397350.035644	326	DNS	162.212.156.148	10.0.2.15	53	43917
316	1521397350.035897	261	DNS	10.0.2.15	162.212.156.148	43917	53
317	1521397350.050801	366	DNS	162.212.156.148	10.0.2.15	53	43917
318	1521397350.052781	324	DNS	10.0.2.15	162.212.156.148	43917	53
319	1521397350.070255	329	DNS	162.212.156.148	10.0.2.15	53	43917
320	1521397350.070314	324	DNS	10.0.2.15	162.212.156.148	43917	53
321	1521397350.084156	329	DNS	162.212.156.148	10.0.2.15	53	43917
322	1521397350.084234	324	DNS	10.0.2.15	162.212.156.148	43917	53
323	1521397350.100379	329	DNS	162.212.156.148	10.0.2.15	53	43917
324	1521397350.100439	324	DNS	10.0.2.15	162.212.156.148	43917	53
325	1521397350.113859	329	DNS	162.212.156.148	10.0.2.15	53	43917
326	1521397350.113923	255	DNS	10.0.2.15	162.212.156.148	43917	53
327	1521397350.129828	360	DNS	162.212.156.148	10.0.2.15	53	43917
328	1521397350.130071	202	DNS	10.0.2.15	162.212.156.148	43917	53
329	1521397350.144416	307	DNS	162.212.156.148	10.0.2.15	53	43917
330	1521397350.144667	221	DNS	10.0.2.15	162.212.156.148	43917	53
331	1521397350.158884	326	DNS	162.212.156.148	10.0.2.15	53	43917
332	1521397350.159157	270	DNS	10.0.2.15	162.212.156.148	43917	53
333	1521397350.182258	375	DNS	162.212.156.148	10.0.2.15	53	43917
334	1521397350.185981	324	DNS	10.0.2.15	162.212.156.148	43917	53
335	1521397350.205437	329	DNS	162.212.156.148	10.0.2.15	53	43917
336	1521397350.205499	324	DNS	10.0.2.15	162.212.156.148	43917	53
337	1521397350.218907	329	DNS	162.212.156.148	10.0.2.15	53	43917
338	1521397350.219005	324	DNS	10.0.2.15	162.212.156.148	43917	53
339	1521397350.233498	329	DNS	162.212.156.148	10.0.2.15	53	43917
340	1521397350.233559	324	DNS	10.0.2.15	162.212.156.148	43917	53
341	1521397350.247125	329	DNS	162.212.156.148	10.0.2.15	53	43917
342	1521397350.247185	324	DNS	10.0.2.15	162.212.156.148	43917	53
343	1521397350.281033	329	DNS	162.212.156.148	10.0.2.15	53	43917
344	1521397350.281132	225	DNS	10.0.2.15	162.212.156.148	43917	53
345	1521397350.315192	230	DNS	162.212.156.148	10.0.2.15	53	43917
346	1521397350.315435	324	DNS	10.0.2.15	162.212.156.148	43917	53
347	1521397350.340805	391	DNS	162.212.156.148	10.0.2.15	53	43917
348	1521397350.340948	324	DNS	10.0.2.15	162.212.156.148	43917	53
349	1521397350.368169	329	DNS	162.212.156.148	10.0.2.15	53	43917
350	1521397350.368296	324	DNS	10.0.2.15	162.212.156.148	43917	53
351	1521397350.381777	329	DNS	162.212.156.148	10.0.2.15	53	43917
352	1521397350.381839	324	DNS	10.0.2.15	162.212.156.148	43917	53
353	1521397350.395499	329	DNS	162.212.156.148	10.0.2.15	53	43917
354	1521397350.395561	324	DNS	10.0.2.15	162.212.156.148	43917	53
355	1521397350.417139	329	DNS	162.212.156.148	10.0.2.15	53	43917
356	1521397350.417255	225	DNS	10.0.2.15	162.212.156.148	43917	53
357	1521397350.433077	292	DNS	162.212.156.148	10.0.2.15	53	43917
358	1521397350.433319	324	DNS	10.0.2.15	162.212.156.148	43917	53
359	1521397350.451326	329	DNS	162.212.156.148	10.0.2.15	53	43917
360	1521397350.451401	324	DNS	10.0.2.15	162.212.156.148	43917	53
361	1521397350.465111	329	DNS	162.212.156.148	10.0.2.15	53	43917
362	1521397350.465172	324	DNS	10.0.2.15	162.212.156.148	43917	53
363	1521397350.479907	329	DNS	162.212.156.148	10.0.2.15	53	43917
364	1521397350.479977	324	DNS	10.0.2.15	162.212.156.148	43917	53
365	1521397350.493958	329	DNS	162.212.156.148	10.0.2.15	53	43917
366	1521397350.494017	324	DNS	10.0.2.15	162.212.156.148	43917	53
367	1521397350.512244	329	DNS	162.212.156.148	10.0.2.15	53	43917
368	1521397350.512322	225	DNS	10.0.2.15	162.212.156.148	43917	53
369	1521397350.527003	293	DNS	162.212.156.148	10.0.2.15	53	43917
370	1521397350.527208	324	DNS	10.0.2.15	162.212.156.148	43917	53
371	1521397350.544996	329	DNS	162.212.156.148	10.0.2.15	53	43917
372	1521397350.545059	324	DNS	10.0.2.15	162.212.156.148	43917	53
373	1521397350.564596	329	DNS	162.212.156.148	10.0.2.15	53	43917
374	1521397350.564659	324	DNS	10.0.2.15	162.212.156.148	43917	53
375	1521397350.58	329	DNS	162.212.156.148	10.0.2.15	53	43917
